,Price (€/MWh),Wind (MW)
2024-04-30 00:00:00+02:00,46.02333333333333,821.1254166666666
2024-05-01 00:00:00+02:00,21.385416666666668,1672.9775
2024-05-02 00:00:00+02:00,24.85166666666667,1688.6091666666669
2024-05-03 00:00:00+02:00,34.66833333333333,1191.8095833333334
2024-05-04 00:00:00+02:00,26.395833333333332,405.2895833333334
2024-05-05 00:00:00+02:00,24.715,556.9579166666666
2024-05-06 00:00:00+02:00,48.340833333333336,1597.31125
2024-05-07 00:00:00+02:00,68.17375,359.6483333333333
2024-05-08 00:00:00+02:00,81.41666666666667,579.0525
2024-05-09 00:00:00+02:00,16.680416666666666,1115.4679166666667
2024-05-10 00:00:00+02:00,14.03625,648.4633333333334
2024-05-11 00:00:00+02:00,17.599166666666665,118.88499999999999
2024-05-12 00:00:00+02:00,11.490416666666667,304.02125
2024-05-13 00:00:00+02:00,25.213333333333335,200.72
2024-05-14 00:00:00+02:00,7.800416666666667,351.41291666666666
2024-05-15 00:00:00+02:00,11.130416666666667,533.5454166666667
2024-05-16 00:00:00+02:00,12.657083333333333,964.5058333333333
2024-05-17 00:00:00+02:00,7.517083333333333,938.4158333333334
2024-05-18 00:00:00+02:00,5.923749999999999,584.6533333333333
2024-05-19 00:00:00+02:00,5.701666666666667,518.7920833333334
2024-05-20 00:00:00+02:00,13.95875,1103.9229166666667
2024-05-21 00:00:00+02:00,23.27208333333333,898.9875000000001
2024-05-22 00:00:00+02:00,10.084583333333333,1643.32625
2024-05-23 00:00:00+02:00,3.733333333333333,1576.0737499999998
2024-05-24 00:00:00+02:00,20.14375,353.37875
2024-05-25 00:00:00+02:00,9.097083333333334,316.4895833333333
2024-05-26 00:00:00+02:00,2.6229166666666663,813.71625
2024-05-27 00:00:00+02:00,4.4312499999999995,685.06875
2024-05-28 00:00:00+02:00,6.501666666666666,617.16375
2024-05-29 00:00:00+02:00,28.491249999999997,451.605
2024-05-30 00:00:00+02:00,25.302083333333332,497.6970833333333
2024-05-31 00:00:00+02:00,18.12,402.17125000000004
2024-06-01 00:00:00+02:00,16.0225,266.6275
2024-06-02 00:00:00+02:00,8.552083333333334,310.6820833333333
2024-06-03 00:00:00+02:00,19.223333333333333,1006.4512500000001
2024-06-04 00:00:00+02:00,17.719583333333333,1182.1229166666667
2024-06-05 00:00:00+02:00,6.825,1961.1083333333333
2024-06-06 00:00:00+02:00,13.475833333333334,1286.44625
2024-06-07 00:00:00+02:00,28.482083333333335,904.6975000000001
2024-06-08 00:00:00+02:00,13.764166666666666,887.0491666666667
2024-06-09 00:00:00+02:00,-0.7804166666666666,1945.5912500000002
2024-06-10 00:00:00+02:00,28.58583333333333,1507.3541666666667
2024-06-11 00:00:00+02:00,55.92875,381.6816666666667
2024-06-12 00:00:00+02:00,47.47125,371.9916666666666
2024-06-13 00:00:00+02:00,48.46125,636.0491666666667
2024-06-14 00:00:00+02:00,37.846250000000005,367.69166666666666
2024-06-15 00:00:00+02:00,14.27625,1377.5966666666666
2024-06-16 00:00:00+02:00,12.28125,554.0091666666666
2024-06-17 00:00:00+02:00,54.388749999999995,395.83958333333334
2024-06-18 00:00:00+02:00,46.400416666666665,999.5504166666666
2024-06-19 00:00:00+02:00,35.481249999999996,676.7925
2024-06-20 00:00:00+02:00,7.722083333333334,1524.6325
2024-06-21 00:00:00+02:00,17.881666666666668,372.77375
2024-06-22 00:00:00+02:00,24.898750000000003,602.1625
2024-06-23 00:00:00+02:00,21.499583333333334,335.4683333333333
2024-06-24 00:00:00+02:00,33.156666666666666,219.415
2024-06-25 00:00:00+02:00,31.158333333333335,304.835
2024-06-26 00:00:00+02:00,30.17833333333333,243.29583333333335
2024-06-27 00:00:00+02:00,26.84958333333333,431.8041666666666
2024-06-28 00:00:00+02:00,8.72375,1103.875
2024-06-29 00:00:00+02:00,0.9700000000000001,1921.3133333333335
2024-06-30 00:00:00+02:00,17.017083333333332,572.99375
2024-07-01 00:00:00+02:00,32.48708333333333,861.7016666666667
2024-07-02 00:00:00+02:00,32.98291666666667,446.8925
2024-07-03 00:00:00+02:00,33.979166666666664,432.94125
2024-07-04 00:00:00+02:00,15.203333333333333,1057.6716666666666
2024-07-05 00:00:00+02:00,10.8725,1759.7141666666666
2024-07-06 00:00:00+02:00,5.664583333333333,1431.9075
2024-07-07 00:00:00+02:00,-4.425833333333333,2572.1195833333336
2024-07-08 00:00:00+02:00,23.557083333333335,1000.7633333333333
2024-07-09 00:00:00+02:00,30.705416666666665,436.95958333333334
